t=2026-01-10T13:05:39+0100 lvl=info msg="no configuration paths supplied"
t=2026-01-10T13:05:39+0100 lvl=warn msg="ngrok config file found at legacy location, move to XDG location" xdg_path="/Users/fabulous/Library/Application Support/ngrok/ngrok.yml" legacy_path=/Users/fabulous/.ngrok2/ngrok.yml
t=2026-01-10T13:05:39+0100 lvl=info msg="using configuration at default config path" path=/Users/fabulous/.ngrok2/ngrok.yml
t=2026-01-10T13:05:39+0100 lvl=info msg="open config file" path=/Users/fabulous/.ngrok2/ngrok.yml err=nil
t=2026-01-10T13:05:39+0100 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-01-10T13:05:40+0100 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-10T13:05:40+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-10T13:07:01+0100 lvl=info msg="join connections" obj=join id=1a646a0e4d66 l=[::1]:3000 r=105.112.10.109:45107
t=2026-01-10T13:07:01+0100 lvl=info msg="join connections" obj=join id=ba2c7b2186ae l=[::1]:3000 r=105.112.10.109:45107
t=2026-01-10T13:07:01+0100 lvl=info msg="join connections" obj=join id=e8b722b817de l=[::1]:3000 r=105.112.10.109:45107
t=2026-01-10T13:07:03+0100 lvl=info msg="join connections" obj=join id=f32994013a51 l=[::1]:3000 r=105.112.10.109:45108
t=2026-01-10T13:07:31+0100 lvl=info msg="join connections" obj=join id=34531eaab75b l=[::1]:3000 r=105.112.10.109:45107
t=2026-01-10T13:07:32+0100 lvl=info msg="join connections" obj=join id=7500bc6e60f1 l=[::1]:3000 r=105.112.10.109:45107
t=2026-01-10T13:07:32+0100 lvl=info msg="join connections" obj=join id=8d7018987afa l=[::1]:3000 r=105.112.10.109:45107
t=2026-01-10T13:09:32+0100 lvl=info msg="join connections" obj=join id=86589973703b l=[::1]:3000 r=105.112.126.129:26896
t=2026-01-10T13:09:33+0100 lvl=info msg="join connections" obj=join id=bfcb79421390 l=[::1]:3000 r=105.112.126.129:26896
t=2026-01-10T13:09:33+0100 lvl=info msg="join connections" obj=join id=61a2c6ea25d0 l=[::1]:3000 r=105.112.126.129:26896
t=2026-01-10T13:09:33+0100 lvl=info msg="join connections" obj=join id=42305de7cebb l=[::1]:3000 r=105.112.126.129:26896
t=2026-01-10T13:09:34+0100 lvl=info msg="join connections" obj=join id=8cf451d5a435 l=[::1]:3000 r=105.112.126.129:26896
t=2026-01-10T13:09:34+0100 lvl=info msg="join connections" obj=join id=6eaab6a7223d l=[::1]:3000 r=105.112.126.129:26896
t=2026-01-10T13:09:34+0100 lvl=info msg="join connections" obj=join id=8f2b72a219be l=[::1]:3000 r=105.112.126.129:26896
t=2026-01-10T13:09:34+0100 lvl=info msg="join connections" obj=join id=06dcb0d5779b l=[::1]:3000 r=105.112.126.129:26896
t=2026-01-10T13:09:34+0100 lvl=info msg="join connections" obj=join id=49a4684d38f9 l=[::1]:3000 r=105.112.126.129:26896
t=2026-01-10T13:09:34+0100 lvl=info msg="join connections" obj=join id=93fa39cc8ba3 l=[::1]:3000 r=105.112.126.129:26896
t=2026-01-10T13:09:34+0100 lvl=info msg="join connections" obj=join id=e6eebdffc4ff l=[::1]:3000 r=105.112.126.129:26896
t=2026-01-10T13:09:34+0100 lvl=info msg="join connections" obj=join id=474bd1d0f6e6 l=[::1]:3000 r=105.112.126.129:26896
t=2026-01-10T13:09:34+0100 lvl=info msg="join connections" obj=join id=55904e61a017 l=[::1]:3000 r=105.112.126.129:26896
t=2026-01-10T13:09:34+0100 lvl=info msg="join connections" obj=join id=b8b25931fbe8 l=[::1]:3000 r=105.112.126.129:26896
t=2026-01-10T13:09:34+0100 lvl=info msg="join connections" obj=join id=63d05ac449f8 l=[::1]:3000 r=105.112.126.129:26896
t=2026-01-10T13:09:34+0100 lvl=info msg="join connections" obj=join id=5c11b1bb7fab l=[::1]:3000 r=105.112.126.129:26896
t=2026-01-10T13:09:34+0100 lvl=info msg="join connections" obj=join id=e129ef48e783 l=[::1]:3000 r=105.112.126.129:26896
